직책,회사,위치,URL
('개발자 - Python 서버 프로그램 개발의 전체 세부 정보', '바인테크', '서울 송파구', 'https://kr.indeed.com//rc/clk?jk=4cc15c26097421c5&fccid=aef44811e748bebe&vjs=3')
('영상처리  컴퓨터 비전 전문가 (신입/경력)의 전체 세부 정보', '에바', '성남 수정구', 'https://kr.indeed.com//rc/clk?jk=2642a83874ea6bab&fccid=5cc87f5890bd7170&vjs=3')
('웹 개발자 경력 Java/Php/Javascript/Python/Html/CSS 등 프로젝트 경력자의 전체 세부 정보', '바이오브레인', '대전 서구', 'https://kr.indeed.com//rc/clk?jk=941687b6bbb14d81&fccid=a3e2170fc2a54ba6&vjs=3')
('[선행기술원] 시계열 AI 모델 및 온라인 학습 기술 개발[책임연구원]의 전체 세부 정보', '현대자동차그룹', '성남 판교역', 'https://kr.indeed.com//rc/clk?jk=6b5c27f06e497a8b&fccid=980d6ecc399a3373&vjs=3')
('B2C 백엔드 엔지니어(Python) - 크레딧플래닛의 전체 세부 정보', '피플펀드컴퍼니', '서울 서초구', 'https://kr.indeed.com//rc/clk?jk=f4481b6780deb263&fccid=10d9fdf90a5a21a4&vjs=3')
('딥러닝 AI 개발 연구원의 전체 세부 정보', '베이리스', '성남 수정구', 'https://kr.indeed.com//rc/clk?jk=87309d3ff40ead61&fccid=ce871e9e4a9f430a&vjs=3')
('기술 문서 작성 전문가의 전체 세부 정보', '딥엑스', '성남 분당구', 'https://kr.indeed.com//rc/clk?jk=44f52ea73a6d25da&fccid=e34932b8232a173b&vjs=3')
('커넥티드 카 AI 음성인식 개발 (NLP/ 자연어처리)[연구원  책임연구원]의 전체 세부 정보', '현대자동차그룹', '서울 강남구', 'https://kr.indeed.com//rc/clk?jk=f5187c1945d99ff1&fccid=980d6ecc399a3373&vjs=3')
('8퍼센트 개발자 (신입/경력)의 전체 세부 정보', '8퍼센트', '서울 종로구', 'https://kr.indeed.com//rc/clk?jk=8af26b37623864c4&fccid=ac216a9ae7b75c06&vjs=3')
('[디지털일자리매칭플랫폼] (주)아이와즈 산업기능요원(보충역) - 소프트웨어 개발 분야의 전체 세부 정보', '아이와즈', '대전', 'https://kr.indeed.com//rc/clk?jk=4d9e7fcc95034692&fccid=cf4abdb4fa3170ec&vjs=3')
('(주)카이스 2023년 응용 프로그래머의 전체 세부 정보', '카이스', '성남 분당구', 'https://kr.indeed.com//rc/clk?jk=63bfacba8151da3d&fccid=f412be27327644b6&vjs=3')
('[선행기술원] 고해상도 RADAR 시스템 개발 (아키텍처/집적화)[책임연구원]의 전체 세부 정보', '현대자동차그룹', '성남 판교역', 'https://kr.indeed.com//rc/clk?jk=4af9857530ea72ad&fccid=980d6ecc399a3373&vjs=3')
('모터 시스템 전자기 설계[연구원  책임연구원]의 전체 세부 정보', '현대자동차그룹', '대한민국', 'https://kr.indeed.com//rc/clk?jk=016a3e029a68770e&fccid=980d6ecc399a3373&vjs=3')
('클라우드 플랫폼 운영 엔지니어의 전체 세부 정보', 'NHN Enterprise', '성남 판교역', 'https://kr.indeed.com//rc/clk?jk=40e20a58af1e44ee&fccid=cc378bd7bc831eca&vjs=3')
('[SDV] Software Engineer for Mobility[연구원  책임연구원]의 전체 세부 정보', '현대자동차그룹', '서울 강남구', 'https://kr.indeed.com//rc/clk?jk=a0a7a4b7e2ac32a3&fccid=980d6ecc399a3373&vjs=3')
('++렉스코드 백엔드 개발자 ++의 전체 세부 정보', '렉스코드', '서울 서초구', 'https://kr.indeed.com//rc/clk?jk=9121c5aa8075bfa3&fccid=005cc3e287692b67&vjs=3')
('Senior Open Source Developer & DevOps (Python  Django  React  AWS/OpenStack)', 'OpenCraft', 'Anywhere in the World', 'https://weworkremotely.com/remote-jobs/opencraft-senior-open-source-developer-devops-python-django-react-aws-openstack')
('Full-stack Python Developer ', 'Lemon.io', 'Latin America Only/Europe Only/UK Only/Canada Only', 'https://weworkremotely.com/remote-jobs/lemon-io-full-stack-python-developer-2')
('Senior/Staff Software Engineer - Backend/Python - USA (100% Remote)', 'Close', 'USA Only', 'https://weworkremotely.com/remote-jobs/close-senior-staff-software-engineer-backend-python-usa-100-remote')
